Group,inheri,GENE,DMIM,Orph,GroupN
NA,NA,KIAA0753,NA,NA,9
NA,AR,NEK1,NA,NA,9
NA,AR,IFT81,NA,NA,9
NA,AR,TRAF3IP1,NA,NA,9
SRPS type 4 (Beemer),AR,IFT122,269860,93268,9
NA,AR,IFT80,NA,NA,9
SRPS type 5,AR,WDR35,614091,1505,9
SRPS unclassified,AR,ICK,NA,NA,9
NA,AR,INTU,NA,NA,9
NA,AR,FUZ,NA,NA,9
NA,AR,IFT43,NA,NA,9
NA,AR,WDR35,NA,NA,9
Orofaciodigital syndrome type 2 (Mohr syndrome),AR,NEK1,252100,2751,9
NA,AR,WDR35,NA,NA,9
NA,AR,WDR19,NA,NA,9
NA,AR,IFT43,NA,NA,9
NA,AR,IFT52,NA,NA,9
NA,AR,IFT172,NA,NA,9
NA,AR,NEK1,NA,NA,9
Thoracolaryngopelvic dysplasia (Barnes),AD,NA,187760,3317,9
Pseudoachondroplasia (PSACH),AD,COMP,177170,750,10
NA,AR,COL9A3,120270,NA,10
NA,NA,NA,NA,NA,11
"Metaphyseal dysplasia, POP1 type",AR,POP1,617396,93347,11
Eiken dysplasia,AR,PTHR1,600002,79106,11
NA,AR,EFL1,617941,NA,11
NA,AR,DNAJC21,NA,NA,11
NA,AD,SRP54,NA,NA,11
Metaphyseal anadysplasia type 2,AR,MMP9,613073,1040,11
"Metaphyseal dysplasia, Spahr type",AR,MMP13,250400,2501,11
Metaphyseal dysplasia with maxillary hypoplasia,AD,RUNX2,156510,2504,11
Spondyloenchondrodysplasia (SPENCD),AR,ACP5,271550,1855,12
Odontochondrodysplasia (ODCD),AR,TRIP11,184260,166272,12
SMD with corneal dystrophy,AR,PLCB3,NA,NA,12
NA,AR,RAB33B,615222,NA,13
"SEMD, Matrilin type",AR,MATN3,608728,156728,13
"SEMD, Shohat type",AR,DDRGK1,602557,93352,13
"SEMD with leukodystrophy, AIFM1 type",XL,AIFM1,300232,168484,13
"SEMD, biglycan type",XL,BGN,300106,93349,13
"SEMD with immune deficiency, EXTL3 type",AR,EXTL3,617425,508533,13
"SEMD with intellectual disability, NANS type",AR,NANS,610442,168454,13
"SEMD with intellectual disability, RSPRY1 type",AR,RSPRY1,616723,457395,13
"SEMD, PISD type",AR,PISD,NA,NA,13
"SEMD, UFSP2 type",AD,UFSP2,617974,2114,13
NA,NA,NA,142669,NA,13
SPONASTRIME dysplasia,AR,TONSL,271510,93357,13
EVEN-PLUS syndrome,AR,HSPA9,616854,496751,13
Steel syndrome,AR,COL27A1,615155,438117,13
Severe spondylometaphyseal dysplasia (SMD Sedaghatian-like),AR,SBDS,NA,NA,14
MAGMAS related skeletal dysplasia,AR,PAM16,613320,401979,14
NA,NA,NA,190351,NA,15
Trichorhinophalangeal dysplasia type 2 (Langer-Giedion),AD,TRPS1,150230,502,15
NA,NA,EXT1,NA,NA,15
Geleophysic dysplasia,AR,ADAMTSL2,231050,2623,15
NA,AD,FBN1,614185,NA,15
NA,AD,LTBP3,617809,NA,15
Acromicric dysplasia,AD,FBN1,102370,969,15
NA,AD,LTBP3,NA,NA,15
NA,AR,ADAMTS10,277600,NA,15
NA,AR,ADAMTS17,613195,NA,15
NA,AR,LTBP2,614819,NA,15
Acrodysostosis,AD,PDE4D,614613,950,15
Angel-shaped phalango-epiphyseal dysplasia (ASPED),AD,NA,105835,63442,15
Leri Pleonosteosis,AD,8q22.1,151200,2900,15
"SED, MIR140 type",AD,MIR140,NA,NA,15
NA,AR,BMPR1B,609441,NA,16
Fibular hypoplasia and complex brachydactyly (Du Pan),AR,GDF5,228900,2639,16
NA,AR,BMPR1B,NA,NA,16
"Acromesomelic dysplasia, Osebold-Remondini type",AD,NA,112910,93437,16
"Omodysplasia, dominant type",AD,FZD2,164745,93328,17
NA,AR,NXN,NA,NA,17
NA,AD,DVL3,616894,NA,17
NA,AD,FZD2,NA,NA,17
"Mesomelic dysplasia, Kantaputra type",AD,HOXD,156232,1836,17
"Mesomelic dysplasia, Nievergelt type",AD,NA,163400,2633,17
"Mesomelic dysplasia, Kozlowski-Reardon type",AR,NA,249710,2631,17
Mesomelic dysplasia with acral synostoses (Verloes-David-Pfeiffer type),AD,SULF1,600383,2496,17
NA,NA,SLCO5A1,NA,NA,17
"Mesomelic dysplasia, Savarirayan type (Triangular Tibia-Fibular Aplasia)",AD,ID4,605274,85170,17
"Kyphomelic dysplasia, several forms",NA,NA,211350,1801,18
Bent bone dysplasia,AD,FGFR2,614592,313855,18
Osteocraniostenosis,AD,FAM111A,602361,2763,19
Roifman syndrome,AR,RNU4ATAC,616651,353298,19
Multiple epiphyseal dysplasia with microcephaly and nystagmus (Lowry-Wood syndrome),AR,RNU4ATAC,226960,1824,19
NA,AR,RBBP8,606744,NA,19
NA,AR,CEP152,613823,NA,19
NA,AR,TRAIP,616777,NA,19
NA,AR,NSMCE2,617253,NA,19
NA,AR,CENPE,616051,NA,19
NA,AR,XRCC4,616541,NA,19
NA,NA,NA,NA,NA,19
NA,AR,POLE,618336,NA,19
"Multiple epiphyseal dysplasia, recessive type",AR,CANT1,617719,NA,20
"SEMD with joint laxity (SEMD-JL), EXOC6B type",AR,EXOC6B,618395,93359,20
Pseudodiastrophic dysplasia,AR,NA,264180,85174,20
CSGALNACT1 deficiency (joint dislocations and mild skeletal dysplasia,AR,CSGALNACT1,616615,NA,20
Short stature with joint laxity and myopia,AR,GZF1,617662,527450,20
Multiple joint dislocations with amelogenesis imperfecta,AR,SLC10A7,618363,NA,20
Severe (lethal) neonatal short limb dysplasia with multiple dislocations,AR,FAM20B,NA,NA,20
Rhizomelic CDP,AR,PEX7,215100,177,21
NA,AR,FAR1,616154,NA,21
NA,AR,PEX5,616716,NA,21
CDP tibial-metacarpal type,"AD, AR",NA,118651,79346,21
Astley-Kendall dysplasia,AR?,NA,NA,85175,21
"Dysplastic cortical hyperostosis, Kozlowski-Tsuruta type",AR?,NA,NA,2204,22
"Dysplastic cortical hyperostosis, Al-Gazali type",AR?,NA,601356,NA,22
"Osteopetrosis, severe neonatal or infantile forms",AR,TCIRG1,259700,667,23
NA,AR,SNX10,615085,NA,23
"Osteopetrosis, infantile form, with nervous system involvement (OPTB5)",AR,OSTM1,259720,85179,23
"Osteopetrosis, infantile form, osteoclast-poor with immunoglobulin deficiency (OPTB7)",AR,TNFRSF11A,612301,178389,23
"Osteopetrosis, intermediate form",AR,TNFSF11,259710,667,23
NA,AR,PLEKHM1,611497,210110,23
NA,AR,CLCN7,259710,NA,23
"Osteopetrosis, late-onset form type 2 (OPTA2)",AD,CLCN7,166600,53,23
Osteopetrosis with ectodermal dysplasia and immune defect (OLEDAID),XL,IKBKG,300301,69088,23
"Osteopetrosis, moderate form with defective leucocyte adhesion (LAD3)",AR,FERMT3,612840,99844,23
Osteosclerotic metaphyseal dysplasia,AR,LRRK1,615198,500548,23
Dysosteosclerosis,AR,SLC29A3,224300,1782,23
NA,AR,TNFRSF11A,224300,NA,23
NA,AR,CSF1R,NA,NA,23
NA,NA,NA,NA,1306,24
Melorheostosis,SP,MAP2K1,155950,2485,24
NA,AR,GJA1,218400,NA,24
Hyperostosis-Hyperphosphatemia syndrome,AR,GALNT3,211900,306661,24
NA,AR,FGF23,617993,NA,24
NA,AR,KL,617994,NA,24
Cerebellar hypoplasia-endosteal sclerosis,AR,POLR3B,213002,85186,24
NA,AR,SLCO2A1,614441,NA,24
"Pachydermoperiostosis (hypertrophic osteoarthropathy, primary, autosomal dominant)",AD,NA,167100,2796,24
Osteoectasia with hyperphosphatasia (juvenile Paget disease),AR,TNFRSF11B,239000,2801,24
NA,NA,NA,NA,2783,24
NA,NA,NA,NA,3416,24
Sclerosteosis,AR,SOST,269500,3152,24
NA,AR,LRP4,614305,NA,24
"Endosteal hyperostosis, van Buchem type",AR,SOST,239100,3416,24
Trichodentoosseous dysplasia,AD,DLX3,190320,3352,24
Diaphyseal medullary stenosis with malignant fibrous histiocytoma,AD,MTAP,112250,85182,24
Craniodiaphyseal dysplasia,AD,SOST,122860,1513,24
"Craniometadiaphyseal dysplasia, Wormian bone type",AR,NA,269300,85184,24
"Metaphyseal dysplasia, Braun-Tinschert type",AD,NA,605946,85188,24
Pyle disease,AR,SFRP4,265900,3005,24
NA,NA,COL1A2,NA,NA,25
"Osteogenesis imperfecta, perinatal lethal form (OI type 2)",AD,COL1A1,166210,216804,25
NA,AD,COL1A2,166210,216804,25
NA,AR,CRTAP,610854,216804,25
NA,AR,PPIB,259440,216804,25
"Osteogenesis imperfecta, progressively deforming type (OI type 3)",AD,COL1A1,259420,216812,25
NA,NA,COL1A2,NA,NA,25
NA,AD,IFITM5,259420,216812,25
NA,AR,CRTAP,613982,216812,25
NA,AR,LEPRE1,610682,216812,25
NA,AR,SERPINH1,259440,216812,25
NA,AR,FKBP10,613848,216812,25
NA,AR,TMEM38B,610968,216812,25
NA,AR,BMP1,615066,216812,25
NA,AR,WNT1,112264,216812,25
NA,AR,CREB3L1,615220,216812,25
NA,AR,SPARC,616229,216812,25
NA,AR,NA,617952,216812,25
"Osteogenesis imperfecta, moderate form (OI type 4)",AD,COL1A1,166220,216820,25
NA,NA,COL1A2,NA,NA,25
NA,NA,WNT1,NA,NA,25
NA,AD,IFITM5,166220,216820,25
NA,AD,CRTAP,615220,216820,25
NA,AR,FKBP10,610682,216820,25
NA,AR,SP7,259440,216820,25
NA,AR,NA,610968,216820,25
NA,AR,NA,613849,216820,25
Osteoporosis _ X-linked form,XL,PLS3,300910,391330,25
NA,XL,MBTPS2,301014,NA,25
Osteoporosis _ AD form,AD,WNT1,615220,216820,25
NA,AD,LRP5,166710,85193,25
Bruck syndrome type 1 (BS1),AR,FKBP10,259450,2771,25
Calvarial doughnut lesions with bone fragility,AD,SGMS2,126550,85192,25
Cole-Carpenter like dysplasia,AR,SEC24D,616294,NA,25
"Cutis laxa, autosomal recessive form, type 2A (ARCL2A)",AR,ATP6VOA2,278250,90350,25
(Wrinkly skin syndrome),NA,NA,219200,NA,25
Wiedemann-Rautenstrauch syndrome,AR,POLR3A,264090,3455,25
Singleton-Merten dysplasia type 2,AR,DDX58,616298,85191,25
"Short stature, optic nerve atrophy and Pelger-Huet anomaly",AR,NBAS,614800,391677,25
(SOPH syndrome),NA,NA,NA,NA,25
"Hypophosphatasia, juvenile and adult forms",AD,ALPL,146300,247676,26
"Hypophosphatemic rickets, X-linked",XL,PHEX,307800,89936,26
"Hypophosphatemic rickets, autosomal dominant",AD,FGF23,193100,89937,26
"Hypophosphatemic rickets, autosomal recessive, type 2 (ARHR2)",AR,ENPP1,613312,289176,26
"Hypophosphatemic rickets with hypercalciuria, X-linked",XL,CLCN5,300554,1652,26
"Hypophosphatemic rickets with hypercalciuria, autosomal recessive (HHRH)",AR,SLC34A3,241530,157215,26
"Vitamin D-dependent rickets, type 1A",AR,CYP27B1,264700,289157,26
"Vitamin D-dependent rickets, type 1B",AR,CYP2R1,600081,289157,26
"Vitamin D-dependent rickets, type 2B",AR?,NA,600785,93160,26
"Familial hyperparathyroidism, types 1-4",AD,CDC73,145000,99879,26
NA,AD,CDC73,145001,99880,26
NA,AD,-,610071,99879,26
NA,AD,GCM2,617343,99879,26
"Neonatal hyperparathyroidism, severe form","AR, AD",CASR,239200,417,26
"Neonatal hyperparathyroidism, transient form",AR,TRPV6,618188,417,26
Familial hypocalciuric hypercalcemia with transient neonatal hyperparathyroidism,AD,CASR,145980,405,26
Cutaneous skeletal hypophosphatemia syndrome,SP,HRAS,NA,NA,26
NA,NA,NRAS,NA,NA,26
NA,SP,NA,NA,NA,26
Mucopolysaccharidosis type 1H-1S,AR,IDUA,607014,579,27
NA,NA,NA,607015,NA,27
Mucopolysaccharidosis type 4B,AR,GLB1,253010,309310,27
Mucopolysaccharidosis-plus syndrome (VPS33A deficiency),AR,VPS33A,617303,505248,27
"GM1 Gangliosidosis, several forms",AR,GLB1,230500,354,27
NA,NA,NA,NA,93399,27
NA,NA,NA,NA,93400,27
Sialic acid storage disease (SIASD),AR,SLC17A5,269920,834,27
"Mucolipidosis II (I-cell disease), alpha/beta type",AR,GNPTAB,252500,576,27
Familial expansile osteolysis,AD,TNFRSF11A,174810,85195,28
NA,NA,NA,602080,NA,28
Mandibuloacral dysplasia,AR,LMNA,248370,2457,28
NA,AR,ZMPSTE24,608612,NA,28
"Multicentric osteolysis, nodulosis and arthropathy (MONA)",AR,MMP2,259600,371428,28
Metachondromatosis,AD,PTPN11,156250,2499,29
Cherubism with gingival fibromatosis (Ramon syndrome),AR,NA,266270,3019,29
Dysplasia epiphysealis hemimelica (Trevor),SP,NA,127800,1822,29
Lipomembraneous osteodystrophy with leukoencephalopathy (presenile dementia with bone cysts; Nasu-Hakola),AR,TREM2,221770,2770,29
NA,NA,TYROBP,NA,NA,29
Enchondromatosis (Ollier) and Enchondromatosis with hemangiomata (Maffucci),SP,IDH1,166000,296,29
NA,NA,IDH2,NA,NA,29
NA,NA,NA,NA,163634,29
Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,SP,IDH1,614875,99646,29
Genochondromatosis,AD,NA,137360,85197,29
NA,NA,NA,NA,93398,29
Gorham-Stout Disease,SP,NA,123880,73,29
Osteofibrous Dysplasia,"AD, SP",MET,607278,488265,29
Weaver syndrome,AD,EZH2,277590,3447,30
NA,AD,NFIX,614753,420179,30
NA,AR,APC2,617169,NA,30
Luscan-Lumish syndrome,AD,SETD2,616831,NA,30
Tatton-Brown-Rahman syndrome,AD,DNMT3A,615879,404443,30
Loeys-Dietz syndrome (types 1-6),AD,TGFBR1,609192 610168,60030,30
NA,AD,"TGFBR2,",613795,NA,30
NA,AD,TGFB3,601366,NA,30
NA,AD,SMAD2,NA,NA,30
Meester-Loeys syndrome,XL,BGN,300989,NA,30
Overgrowth syndrome with 2q37 translocations,SP,NPPC,NA,498488,30
"Tall stature with long halluces, NPR2 type",AD,NPR_2,615923,329191,30
"Tall stature with long halluces, NPR3 type",AR,NPR_3,NA,NA,30
Moreno-Nishimura-Schmidt syndrome,SP,NA,608811,498485,30
Progressive pseudorheumatoid dysplasia (PPRD; SED with progressive arthropathy),AR,WISP3,208230,1159,31
Chronic infantile neurologic cutaneous articular syndrome (CINCA) / neonatal onset multisystem inflammatory disease (NOMID),AD,CIAS1,607115,1451,31
"Sterile multifocal osteomyelitis, periostitis, and pustulosis (CINCA/NOMID-like)",AR,IL1RN,147679,210115,31
Chronic recurrent multifocal osteomyelitis with congenital dyserythropoietic anemia (CRMO with CDA; Majeed syndrome),AR,LPIN2,609628,77297,31
Hyaline Fibromatosis Syndrome,AR,ANTXR2,236490,2176,31
"CDAGS syndrome (craniosynostosis, delayed fontanel closure, parietal foramina, imperforate anus, genital anomalies, skin eruption)",AR,NA,603116,85199,32
NA,AR,VAC14,NA,NA,32
NA,NA,NA,NA,NA,32
NA,AD,MSX2,168500,NA,32
Antley-Bixler syndrome,AR,POR,201750,83,33
NA,NA,NA,NA,63269,33
NA,AR,MEGF8,614976,NA,33
Coronal craniosynostosis,AD,TCF12,615314,35099,33
Complex craniosynostosis,AD,ERF,600775,NA,33
NA,AR,POLR1C,248390,NA,34
"Acrofacial dysostosis, Rodriguez type",AR,SF3B4,201170,1788,34
Hemifacial microsomia,"SP, AD",NA,164210,374,34
"Auriculocondylar syndrome, type 2","AR, AD",PLCB4,614669,137888,34
"Auriculocondylar syndrome, type 3",AR,EDN1,615706,137888,34
NA,AD,EVC2,NA,NA,34
NA,AR,HES7,613686,2311,35
NA,"AR, AD",TBX6,122600,122600,35
NA,AR,RIPPLY2,616566,2311,35
NAD deficiency syndrome,AR,HAAO,617660,521438,35
NA,AR,KYNU,617661,NA,35
NA,AD,HES7,613686,2311,35
NA,AR,MEOX1,214300,2345,35
Cerebrocostomandibular syndrome (rib gap syndrome),AD,SNRPB,117650,1393,35
NA,AD,GMNN,616835,2554,36
NA,AR,CDC45L,617063,2554,36
Brachydactyly type B2,AD,NOG,611377,140908,37
Brachydactyly type C,"AD, AR",GDF5,113100,93384,37
Brachydactyly type D,AD,HOXD13,113200,NA,37
NA,AD,HOXD13,113300,NA,37
Brachydactyly with anonychia (Cooks syndrome),AD,KCNJ2,106995,1487,37
"Preaxial brachydactyly, PAX3 type",AD,PAX3,NA,NA,37
Brachydactyly-hypertension syndrome (Bilginturan),AD,PDE3A,112410,1276,38
NA,AD,SMARCB1,614608,NA,38
NA,AD,SMARCA4,614609,NA,38
NA,AD,SMARCE1,616938,NA,38
NA,XL,HDAC8,300882,NA,39
Thrombocythemia with distal limb defects,AD,THPO,187950,329319,39
Split-hand-foot malformation with long bone deficiency (SHFLD),AD,BHLHA9,612576,3329,39
Tibial hemimelia,AR,NA,275220,93322,39
Tibial hemimelia-polysyndactyly-triphalangeal thumb (Werner syndrome),AD,SHH,188740,988,39
Acheiropodia,AR,SHH,200500,931,39
Tetra-amelia,AR,WNT3,273395,3301,39
NA,AR,RSPO2,618021,NA,39
Gollop-Wolfgang syndrome,AD,BHLHA9,228250,1986,39
Al-Awadi Raas-Rothschild limb-pelvis hypoplasia-aplasia,AR,WNT7A,276820,2879,39
RAPADILINO syndrome,AR,RECQL4,266280,3021,39
NA,AD,RBPJ,614814,NA,39
NA,AR,EOGT,615297,NA,39
NA,AD,NOTCH1,616028,NA,39
Poland syndrome,"SP, AD",NA,173800,2911,39
Femoral hypoplasia-unusual face syndrome (FHUFS),SP,NA,134780,1988,39
"Fibular Aplasia, Tibial Campomelia, and Oligosyndactyly syndrome (FATCO)","SP, AD?",NA,246570,2492,39
Femur-fibula-ulna syndrome (FFU),SP,NA,228200,2019,39
Hanhart syndrome (Hypoglossia-hypodactylia),AD,NA,103300,989,39
Scapulo-iliac dysplasia (Kosenow),AD,NA,169550,2839,39
Sirenomelia,SP,NA,NA,3169,39
Terminal transverse defects,SP,NA,102650,973,39
Ectrodactyly-ectodermal dysplasia cleft-palate syndrome Type 3 (EEC3),AD,TP63,604292,1896,40
"Split hand-foot malformation, isolated form, type 4 (SHFM4)",AD,TP63,605289,2440,40
NA,AD,DLX6,183600,NA,40
Split-foot malformation with mesoaxial polydactyly (SFMMP),AR,ZAK,616890,488232,40
Preaxial polydactyly type 1 (PPD1),AD,SHH,174400,93339,41
Preaxial polydactyly type 3 (PPD3),AD,NA,174600,93337,41
Preaxial polydactyly type 4 (PPD4),AD,GLI3,174700,93338,41
Synpolydactyly,AD,HOXD13,186000,295195,41
NA,AD,FGFR3,NA,NA,41
NA,AD,FGF10,NA,NA,41
Acro-pectoral syndrome,AD,NA,605967,85203,41
Acro-pectoro-vertebral dysplasia (F-syndrome),AD,WNT6,102510,957,41
Mirror-image polydactyly of hands and feet (Laurin-Sandrow syndrome),AD,SHH,135750,2378,41
Cenani-Lenz like syndactyly,"SP, AD?",GREM1,NA,NA,41
NA,NA,FMN1,NA,NA,41
"Oligosyndactyly, radio-ulnar synostosis, hearing loss and renal defects syndrome","SP, AR?",FMN1,NA,NA,41
"Syndactyly, Malik-Percin type",AD,BHLHA9,609432,157801,41
Syndactyly type 1 (III-IV),AD,NA,185900,93402,41
Syndactyly type 4 (I-V) Haas type,AD,SHH,186200,93405,41
Syndactyly Lueken type,AD,IHH,NA,295189,41
Syndactyly type 5 (syndactyly with metacarpal and metatarsal fusion),AD,HOXD13,186300,93406,41
Syndactyly with craniosynostosis (Philadelphia type),AD,IHH,185900,1527,41
"Meckel syndrome type 1,2,3,4,5,6",AR,MKS1,249000,564,41
NA,AR,TMEM216,603194,NA,41
NA,AR,TMEM67,607361,NA,41
NA,AR,CEP290,611134,NA,41
NA,AR,CC2D2A,612284,NA,41
NA,AD,GDF5,610017,NA,42
NA,AD,GDF6,617898,NA,42
Radio-ulnar synostosis with amegakaryocytic thrombocytopenia,AD,HOXA11,605432,71289,42
NA,AD,MECOM,616738,NA,42
Liebenberg syndrome,AD,PITX1,186550,1275,42
SAMS syndrome,AR,GSC,602471,397623,42
